Gêneros,Gêneros,Gêneros,Homens,Homens,Homens,Mulheres,Mulheres,Mulheres,Homens,Homens,Homens,Homens,Mulheres,Mulheres,Mulheres,Mulheres,Homens,Homens,Mulheres,Mulheres,Homens,Homens,Mulheres,Mulheres,Homens,Homens,Mulheres,Mulheres,Meninos,Meninos,Meninos,Meninas,Meninas,Meninas,Casas,Casas,Casas
Homens,Mulheres,Total,Solteiros,Casados,Viúvos,Solteiras,Casadas,Viúvas,Brancos,Pardos,Pretos,Caboclos,Brancas,Pardas,Pretas,Caboclas,Católicos,Acatólicos,Católicos,Acatólicos,Brasileiros,Estrangeiros,Brasileiras,Estrangeiras,Sabem ler e escrever,Analfabetos,Sabem ler e escrever,Analfabetos,Frequentam escolas,Não frequentam,Total,Frequentam escolas,Não frequentam,Total,Habitadas,Desabitadas,Total
30983,2564,56631,Solteiros,Casados,Viúvos,Solteiras,Casadas,Viúvas,6911,4210,711,19151,4300,3046,625,17677,30903,80,25641,7,29223,1760,25222,426,6160,24823,1453,24195,824,5056,5880,371,3269,3640,7661,229,7890
128589,11919,247779,24959,5105,919,19214,4714,1720,49663,46899,9200,22827,42971,46828,7629,21762,128396,193,119169,21,123365,5224,118437,753,39718,88871,20677,98513,5768,25753,31521,3441,25020,28461,38978,2077,41055
141942,14215,284101,94848,28935,4806,86825,26280,6085,52267,71662,12504,5509,51246,72699,12780,5434,141865,77,142100,59,139413,2529,141191,968,44375,97567,24196,117963,8739,28142,36881,4844,29567,34411,47166,1405,48571
90322,8810,178427,103283,33644,5015,102302,32337,7520,22208,53474,7505,7135,21239,53191,7357,6318,90313,9,88105,0,90022,300,88001,104,17677,72645,10093,78012,1777,15960,17737,1024,16968,17992,29208,223,29431
350906,33886,689773,63294,23323,3705,59547,23371,5187,136940,172841,14424,26701,131896,166325,14510,26136,350868,38,338857,10,349805,1101,338475,392,58657,292249,20903,317964,10021,83808,93829,5399,85087,90486,99901,2989,102890
112721,10823,220959,241692,99915,9299,224509,99849,14509,52835,42213,12202,5471,49630,41877,11163,5568,112717,4,108238,0,112305,416,108078,160,23602,39119,16220,92018,2643,18662,21305,2058,19857,21915,36710,706,37416
179433,17526,354700,80803,26832,5086,75915,26735,5588,73475,89921,11155,4882,71246,88675,10661,4685,179429,4,175266,1,178940,493,175102,165,29224,150209,11988,163279,6630,44061,50691,3894,45830,49724,43767,522,44289
381565,37094,752511,119403,53474,6556,112332,53274,9661,149930,194897,30795,5943,141229,192954,30901,5862,381361,204,370906,40,373530,8035,368621,2325,92664,288901,54659,316287,14069,82133,96202,9301,80960,90261,133920,4381,188301
155584,15667,312268,258936,111189,11440,240239,111465,19242,45343,98916,8220,3105,43455,101283,8687,3259,155557,27,156683,1,154606,978,156321,363,26046,129538,15814,140870,5455,34261,39716,4028,34726,38754,55894,2030,57924
74739,7888,153620,102729,47865,4990,99772,46743,10169,24358,39524,9321,1536,25420,42059,9851,1551,74739,0,78881,0,74352,387,78723,158,18687,56052,10447,68434,3402,14934,18336,1832,17333,19165,25542,567,26109
