,Brasileiros,Estrangeiros,Brasileiras,Estrangeiras
0,29223,1760,25222,426
1,123365,5224,118437,753
2,139413,2529,141191,968
3,90022,300,88001,104
4,349805,1101,338475,392
5,112305,416,108078,160
6,178940,493,175102,165
7,373530,8035,368621,2325
8,154606,978,156321,363
9,74352,387,78723,158
10,622447,7906,577229,4210
11,28190,1417,29359,512
12,77872,56008,74851,17302
13,225843,29963,225860,8421
14,336473,11831,327702,4736
15,57224,2080,56049,809
16,64731,8357,65241,6489
17,166042,24980,164522,11478
18,833175,14417,817692,3992
19,74818,150,74698,77
20,26986,1005,25455,304
21,4139362,179337,4036829,64144
