,Livres,,,,,,,,,,,,Escravos,,,,,,,,,,,,
,Homens,,,,,,Mulheres,,,,,,Homens,,,,,,Mulheres,,,,,,
Províncias e Município Neutro,Cegos,Surdo-mudos,Aleijados,Dementes,Alienados,Total,Cegas,Surdo-mudas,Aleijadas,Dementes,Alienadas,Total,Cegos,Surdo-mudos,Aleijados,Dementes,Alienados,Total,Cegas,Surdo-mudas,Aleijadas,Dementes,Alienadas,Total,Total dos defeituosos
Amazonas,23,16,85,6,3,133,19,7,36,4,1,67,1,0,2,0,0,3,0,0,2,0,0,2,205
Pará,286,158,1030,67,68,1609,172,73,289,52,41,627,16,2,91,3,7,119,9,3,53,6,8,79,2434
Maranhão,368,198,989,99,124,1778,345,87,397,83,91,1003,46,16,259,14,6,341,48,7,135,9,4,203,3325
Piauí,155,52,416,32,61,716,98,38,135,20,31,322,26,5,79,3,4,117,11,1,37,6,8,63,1218
Ceará,799,378,2593,326,423,4519,480,244,912,266,231,2133,47,6,112,10,7,182,25,8,87,8,11,139,6973
Rio Grande do Norte,147,68,421,62,69,767,107,44,171,53,44,419,10,8,50,6,1,75,10,4,38,5,1,58,1319
Paraíba,362,172,983,108,193,1818,286,92,421,98,89,986,21,5,51,1,6,84,14,8,37,2,5,66,2954
Pernambuco,593,222,833,181,174,2003,451,143,497,166,150,1407,104,30,269,45,52,500,71,26,191,32,36,356,4266
Alagoas,262,63,459,69,58,911,179,35,247,71,67,599,16,3,70,6,5,100,21,1,42,5,0,69,1679
Sergipe,156,34,398,58,49,695,98,10,171,42,30,351,26,3,65,2,2,98,18,1,52,2,4,77,1221
Bahia,940,561,1699,397,294,3891,792,420,930,318,279,2739,257,139,543,125,112,1176,234,153,407,132,119,1045,8851
Espírito Santo,81,23,306,32,27,469,43,9,90,18,17,177,19,4,54,1,0,78,3,1,40,1,0,45,769
Município Neutro,162,123,542,86,286,1199,124,70,141,58,140,533,54,8,85,8,5,160,28,8,38,6,0,80,1972
Rio de Janeiro,338,181,1156,232,96,2003,222,104,490,151,75,1042,167,39,550,69,22,847,108,33,282,57,27,507,4399
São Paulo,1018,676,2727,637,363,5421,548,361,1102,441,205,2657,234,30,518,69,34,885,97,18,297,46,23,481,9444
Paraná,73,117,399,80,65,734,37,58,122,29,27,273,4,4,9,3,0,20,2,2,8,2,1,15,1042
Santa Catarina,204,333,707,116,47,1407,132,78,239,79,37,565,8,7,47,8,1,71,13,5,21,3,5,47,2090
Rio Grande do Sul,292,283,1365,212,135,2287,202,131,348,133,78,892,59,17,110,21,3,216,20,8,67,18,4,117,3512
Minas Gerais,1345,2266,5355,1732,449,11147,874,1529,2681,1234,303,6621,361,358,1566,254,100,2633,241,282,1027,188,74,1812,22213
Goiás,249,420,768,236,98,1771,129,258,303,136,46,872,27,32,96,3,6,164,9,14,37,4,4,68,2875
Mato Grosso,101,93,201,53,30,478,52,56,94,21,19,242,12,4,63,6,1,86,7,8,34,0,5,54,860
Soma,7954,6437,23432,4821,3112,45756,5390,3847,9816,3473,2001,24527,1515,720,468,657,374,7955,989,591,2932,532,339,5383,83621
