,,,,,,,,,,,,,,Instrução,,,,,,,,,,,,,,
,,,Raças,,,,Estados civis,,,Religião,,Nacionalidades,,,,População escolar de 6 a 15 anos,,,Defeitos físicos,,,,,,,Casas,,
Condições,Sexos,Almas,Brancos,Pardos,Pretos,Caboclos,Solteiros,Casados,Viúvos,Católicos,Acatólicos,Brasileiros,Estrangeiros,Sabem ler e escrever,Analfabetos,Frequentam escolas,Não frequentam escolas,Total,Cegos,Surdo-mudos,Aleijados,Dementes,Alienados,Ausentes,Transeuntes,Habitadas,Desabitadas,Fogos
Livres,Homens,10322,4940,4332,436,614,7154,2775,393,10288,34,9779,543,3266,7056,799,1711,2510,48,6,158,16,11,41,301,,,
,Mulheres,9867,4364,4601,470,432,6979,2097,791,9859,8,9661,206,1170,8697,559,1896,2455,41,9,32,21,9,76,247,,,
,Soma,20189,9304,8933,906,1046,14133,4872,1184,20147,42,19440,749,4436,15753,1358,3607,4965,89,15,190,37,20,117,548,3359,1025,3403
Escravos,Homens,522,0,326,196,0,502,14,6,522,0,522,0,5,517,0,0,0,0,0,2,0,0,0,0,,,
,Mulheres,661,0,365,296,0,638,19,4,661,0,661,0,6,655,0,0,0,0,0,2,2,2,0,0,,,
,Soma,1183,0,691,492,0,1140,33,10,1183,0,1183,0,11,1172,0,0,0,0,0,4,2,2,0,0,,,
,Soma geral,21372,9304,9624,1398,1046,15273,4905,1194,21330,42,20623,749,4447,16925,1358,3607,4965,89,15,194,39,22,117,548,3359,1025,3403
