,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Totais,,,,,,,,,,,,,
,,,Meses,,,,,,,,,,,Anos completos,,,,,Quinquênios,,,,,Decênios,,,,,,,,,das Raças,,,,das Condições,,dos Sexos,,Ausentes (acidentalmente),,Transeuntes (população flutuante),,População legal,
Sexos,Condições,Raças,“1”,“2”,“3”,“4”,“5”,“6”,“7”,“8”,“9”,“10”,“11”,“1”,“2”,“3”,“4”,“5”,6 a 10,11 a 15,16 a 20,21 a 25,26 a 30,31 a 40,41 a 50,51 a 60,61 a 70,71 a 80,81 a 90,91 a 100,Maiores de 100,Não determinadas,Brancos,Pardos,Pretos,Caboclos,Livres,Escravos,Homens,Mulheres,Condições,Sexos,Condições,Sexos,Condições,Sexos
Homens,Livres,Brancos,17,8,5,7,5,6,7,13,5,4,7,101,114,107,120,114,555,603,603,546,695,649,333,169,83,27,2,1,13,0,4922,0,0,0,10281,0,10803,0,41,41,301,301,10021,10543
,,Pardos,2,6,3,5,11,6,13,12,8,6,7,102,112,100,98,95,606,459,392,456,493,649,355,163,108,21,12,3,22,0,0,4326,0,0,,0,,0,,,,,,
,,Pretos,2,0,1,0,0,0,0,0,0,0,0,2,4,3,8,2,61,45,45,56,56,60,40,16,12,5,1,1,0,0,0,0,420,0,,0,,0,,,,,,
,,Caboclos,4,1,0,1,0,0,0,0,1,0,0,11,8,12,11,13,75,96,94,54,79,67,43,17,14,12,2,0,1,0,0,0,0,613,,0,,0,,,,,,
,Escravos,Pardos,0,0,0,0,0,0,0,0,0,0,0,3,6,11,12,8,58,32,49,44,29,28,27,11,8,0,0,0,0,0,0,326,0,0,0,522,,0,0,,0,,522,
,,Pretos,0,0,0,0,0,0,0,0,0,0,0,4,4,5,6,3,28,29,22,26,23,27,9,6,4,0,0,0,0,0,0,0,196,0,0,,,0,,,,,,
Mulheres,Livres,Brancas,14,8,6,10,7,13,8,8,7,11,12,103,93,109,102,117,534,523,599,456,439,477,350,187,79,35,43,3,7,0,4330,0,0,0,9791,0,0,10452,76,76,247,247,9620,10281
,,Pardas,8,12,16,8,7,15,10,6,9,6,8,95,106,128,107,107,658,515,515,568,543,525,301,165,99,36,10,4,2,0,0,4589,0,0,,0,0,,,,,,,
,,Pretas,3,5,6,3,0,1,0,0,6,0,4,8,4,8,8,10,52,40,39,37,51,41,60,22,16,11,5,0,2,0,0,0,0,0,,0,0,,,,,,,
,,Caboclas,0,0,0,1,0,1,0,0,0,0,0,7,8,14,8,9,51,58,52,53,52,57,29,8,10,5,5,2,0,0,0,0,442,0,,0,0,,,,,,,
,Escravas,Pardas,0,0,0,0,0,0,0,0,0,0,6,8,5,6,5,8,63,52,44,49,54,32,23,7,3,0,0,0,0,0,0,365,0,430,0,661,0,,0,,0,,661,
,,Pretas,0,0,0,0,0,0,0,0,0,0,2,8,7,4,5,23,10,46,28,69,30,22,8,3,1,0,0,0,0,0,0,0,296,0,0,,0,,,,,,,
,Soma geral,,50,40,37,35,30,42,38,39,35,27,46,452,471,507,490,509,2781,2501,2482,2444,2544,2634,1578,774,437,152,50,14,47,0,9252,9606,1354,1043,20072,1183,10803,10452,117,117,548,548,20824,20824
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21255,,,,21255,,21255,,,,,,,
