,,,,,,População em relação à nacionalidade brasileira,,,,,,,,,,,,,,,,,,,,Totais,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,das Raças,,,,dos Estados civis,,,das Condições,,dos Sexos,
Sexos,Condições,Estados civis,Raças,Brasileiros adotivos,Estrangeiros naturalizados,Amazonas,Pará,Maranhão,Piauí,Ceará,Rio Grande do Norte,Paraíba,Pernambuco,Alagoas,Sergipe,Bahia,Espírito Santo,Rio de Janeiro,São Paulo,Paraná,Santa Catarina,Rio Grande do Sul,Minas Gerais,Goiás,Mato Grosso,Brancos,Pardos,Pretos,Caboclos,Solteiros,Casados,Viúvos,Livres,Escravos,Masculino,Feminino
Homens,Livres,Solteiros,Brancos,0,0,0,1,3,6,3124,8,3,18,3,0,4,1,12,1,2,1,1,1,0,0,3189,0,0,0,6838,,,9779,,10301,
,,,Pardos,0,0,0,5,6,8,2821,16,6,19,3,3,9,8,9,2,2,2,1,4,0,0,0,2924,0,0,,,,,,,
,,,Pretos,0,0,0,0,5,3,219,0,3,9,1,1,1,0,5,0,0,0,0,0,0,0,0,0,247,0,,,,,,,
,,,Caboclos,0,0,0,2,3,0,457,3,2,4,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,478,,,,,,,
,,Casados,Brancos,0,0,1,0,3,0,1076,9,1,6,2,0,1,0,0,0,0,0,0,0,0,0,1099,0,0,0,,2574,,,,,
,,,Pardos,0,0,0,3,0,9,1205,20,4,8,2,0,0,0,0,0,0,1,1,0,0,0,0,1253,0,0,,,,,,,
,,,Pretos,0,0,0,0,0,1,94,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,98,0,,,,,,,
,,,Caboclos,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,,,,,,,
,,Viúvos,Brancos,0,0,0,0,1,0,122,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,,,367,,,,
,,,Pardos,0,0,0,0,0,0,150,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,155,0,0,,,,,,,
,,,Pretos,0,0,0,0,0,0,73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74,0,,,,,,,
,,,Caboclos,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,,,,
,Escravos,Solteiros,Pardos,0,0,0,0,0,7,301,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,502,,,,522,,
,,,Pretos,0,0,0,0,4,8,171,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,190,0,,,,,,,
,,Casados,Pardos,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,14,,,,,
,,,Pretos,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,,,,,,,
,,Viúvos,Pardos,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,,6,,,,
,,,Pretos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Mulheres,Livres,Solteiras,Brancas,0,0,0,0,4,1,2791,12,0,17,1,2,14,1,8,0,0,0,1,0,0,0,2852,0,0,0,6856,,,9661,,,10322
,,,Pardas,0,0,0,0,4,4,3284,5,3,4,1,0,0,0,3,0,0,1,0,1,0,0,0,3310,0,0,,,,,,,
,,,Pretas,0,0,1,0,3,0,362,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,370,0,,,,,,,
,,,Caboclas,0,0,0,0,0,0,321,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,,,,,,,
,,Casadas,Brancas,0,0,0,0,3,2,938,12,0,11,0,0,6,0,2,0,0,0,3,0,0,1,978,0,0,0,,2033,,,,,
,,,Pardas,0,0,0,0,0,1,929,5,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,940,0,0,,,,,,,
,,,Pretas,0,0,0,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,,,,,,,
,,,Caboclas,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,,,,,,,
,,Viúvas,Brancas,0,0,0,0,0,1,344,3,0,8,0,0,1,0,0,0,0,0,1,0,0,0,358,0,0,0,,,772,,,,
,,,Pardas,0,0,0,0,0,4,332,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,,,,,,,
,,,Pretas,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,,,,,,,
,,,Caboclas,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,,,,,,,
,Escravas,Solteiras,Pardas,0,0,0,0,0,0,339,7,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,350,0,0,638,,,,661,,
,,,Pretas,0,0,0,0,2,0,280,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,288,0,,,,,,,
,,Casadas,Pardas,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,,19,,,,,
,,,Pretas,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,,,,,,,
,,Viúvas,Pardas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,4,,,,
,,,Pretas,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,,
