,,,,População considerada em relação à nacionalidade estrangeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,Totais,,,,,
,,,,Africanos,,Alemães,Austríacos,Argentinos,Belgas,Bolivianos,Chineses,Dinamarqueses,Franceses,Gregos,Espanhóis,Holandeses,Húngaros,Ingleses,Italianos,Japoneses,Mexicanos,Norte-americanos,Orientais,Paraguaios,Persas,Peruanos,Portugueses,Russos,Suíços,Suecos,Turcos,Dos solteiros,Dos casados,Dos viúvos,Dos católicos,Dos acatólicos,Dos sexos
Estrangeiros,Sexos,Religião,Estados civis,Escravos,Livres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natos,Homens,Católicos,Solteiros,0,7,4,0,0,0,0,0,0,7,0,,0,0,26,10,0,0,0,0,15,0,0,211,0,0,0,0,287,0,0,509,,543
,,,Casados,0,8,2,0,0,0,0,0,0,5,0,,0,0,10,3,0,0,0,0,0,0,0,167,0,1,0,0,0,196,0,,,
,,,Viúvos,0,2,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,26,,,
,,Acatólicos,Solteiros,0,0,7,0,0,0,0,0,0,6,0,,0,0,11,0,0,0,0,0,0,0,0,0,0,5,0,0,29,0,0,,34,
,,,Casados,0,0,1,0,0,0,0,0,0,1,0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,,,
,,,Viúvos,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,Mulheres,Católicas,Solteiras,0,18,0,0,1,0,0,0,0,10,0,,0,0,0,0,0,0,0,0,31,0,0,58,0,0,0,0,118,0,0,198,,206
,,,Casadas,0,5,1,0,0,0,0,0,0,2,0,,0,0,1,0,0,0,0,0,1,0,0,51,0,0,0,0,0,61,0,,,
,,,Viúvas,0,7,0,0,1,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,19,,,
,,Acatólicas,Solteiras,0,0,2,0,0,0,0,0,0,1,0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,8,
,,,Casadas,0,0,0,0,0,0,0,0,0,0,0,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,
,,,Viúvas,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,,Soma geral,0,47,18,0,2,0,0,0,0,33,0,,0,0,56,13,0,0,0,0,48,0,0,518,0,6,1,0,439,265,45,707,42,749
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749,,,749,,
